0
의도는 좋았으나 영화는 아니올시다  
다양한 쓰레기.영화에 대비해 우선 자신의 등에 비수를 꽂는 법을 가르쳐 주는 비기너를 위한 고마운 영화  
실화~ 부패한 유엔 기타등등 브라브라...쟝르적재미를 살리지못한 영화~  
국제외교와 국가권력의 틈바구니 속에서 자행된 유엔의 부패와 타락을 실화에 근거해서 조명하려고 했으나 영화적인 재미는 크지 않다. 영화의 대전제는 유엔이 깨끗한 곳이라는 순진한 믿음이지만 그런건 환상에 빠진 철모르는 20대 여자들이나 생각하는 수준.  
"거대한 세력에 맞서 주변에 믿을 곳은 사랑하는 가족과 언론뿐이었다는 스토리가 최근에 가장 심각했던 국산 폭로 영화 <1급 기밀> 과 함께 오버랩이 되고 갑질, 미투 등 폭로의 시대에 놓여 있는 이 시대의 결을 같이하는 영화  "
backstab for you  
유엔과 관련된 내부 고발자를 다룬 영화인데 실제 사건에만 치중하다 보니드라마틱한 요소가 부족해서 지루 하군  
영화는 보도않고 믿고보는 이 xxx 까게 1점 준다  
믿고 보는 테오 하루빨리 개봉하기릉..  
개봉전 평점: 3.67
전체 댓글수: 9
