0
Damn! 999 ㅋㅋ  
제목 그대로 거대한 스크린 폭탄에 사라질 영화....  
왠지모를 허접함이 느껴진다..  
당최 얼마나 크게 지어야 도시가 물에 잠겨벌일수 있냐 그냥 B급 영화로 재미있게 보자  
볼만할것같아 보이네요  
오늘본거..재미없다..  
개봉전 평점: 5.67
전체 댓글수: 6
