0
"만화 <메모리즈>의 대사가 생각났어요. ""건물이 완공되면 화려하게 낙성식을 열지만, 부술 때는 조용히 사라지네요. 고인을 애도하는 것처럼, 건물에도 송별회를 열어주면 좋을 것 같아."" 애정이 담긴 공간을 잃으며 사는 사람들에게 위로가 되는 영화  "
아이가 좋아할것 같아요기대됩니다  
"사람들의 집, 나의 집, 집 자체를 생각하게 하는 영화. 아주 좋은 영화.  "
"미니멀한 연출과 정적인 화면은 이별을 담담히 맞이하는 마음들의 은유일까. 자신의 죽음을 목전에 둔 집의 이야기를 듣는다. 인터뷰는 그의 목소리, 풍경을 비추는 화면은 그의 시선. 집은 이야기를 마치고, 우두커니 서서 주변을 바라보다 천천히 눈을 감는다  "
잔잔한 풋티지들 사이에 낀 앰비언트 음악들 엉클어진 개연성에 관음에 가까운 프레임. 가정방문 시리즈와 크게 다를게 없는 감성으로 뒤덮어버린 껍데기에 불과한 결과물을 여실없이 보여주었다 세월을 그리는 표현은 어설펐고 영화는 보편적인 영상예술로 포장되었다  
개봉전 평점: 8.00
전체 댓글수: 5
