0
이수 귀엽네...  스토리는 너무 뻔하다  
레즈영화도 만들어주세여  진주  씨로여     ㅜㅜ  
배우들의 연기가 좋고 스토리도 괜찮음  
개봉전 평점: 6.00
전체 댓글수: 3
