0
후기 남깁니다 만원 보고 보기에 영화 정말 아쉽네요 박은진과 이다민씨를 가지고 영화를 이렇게밖에 못만들다니...박은진은 아무 생각없이 베드신 찍은 듯한 느낌나고 이다민 베드신 두번째 때 어두워서 보이지도 않고...베드신 각각 두번 있지만 별로에요  
기억나는 게 흡연 장면 뿐인 영화.  
에고... 만원 보고? 만원 결제하고 보셨다는 말씀이신가?난 3220원 내고 봤어요옷벗기기 포커?  아니면... 므므므 게임?일단 다운 받았어요제목이... 재밌잖아요  ㅎ  
카메라앵글꼬라지하며 허접한 브금하며  
개봉전 평점: 3.75
전체 댓글수: 4
