0
"비슷하게, 진부하게, 지리멸렬하게.  "
엄마역은 농염하고 좋은데 왜..  
캐스팅끝내주네요 희대의 역작으로 등극될듯  
왜 자꾸 친구엄마 가따가 그래 하나도 안꼴려  
개봉전 평점: 3.25
전체 댓글수: 4
