0
찜  
"40자평으론 절때 해석불가능하고 나도 이해불가능한여오하
  "
"예고편만으로도 별4개, 반개는 나의 기대치. 새로운 영화의 시작을 지켜보자.  "
코미디 맞나??????????  
보그픈데 진짜...  
꼭 봐야 할듯!  
꼭 보고픈 영화예요  
"무지 끌리는 영화인데,,,,  "
부산에도 좀 오라고  
굿  
괴작 같은 걸작일 듯.  
이번 시네마디지털서울 에서요~  
보고싶은데..어디서 보죠ㅜㅜ  
개봉전 평점: 9.50
전체 댓글수: 13
