0
재미있을듯 이런 시리즈 나는 좋아험  
재밋을듯 너무기대되요  
00. 고스트 패밀리 영화 작품 빨리 공개 됐으면 좋겠고 새소식 오고 이상 입니다.  
asdfasdasdas  
웃기고 재미있을 것 같네요^^  
완전기대된다.. 이런 장르 이런 느낌의 영화 너무좋다 ㅎㅎ  
예고편은 아직 안나왓네...  
개봉전 평점: 8.14
전체 댓글수: 7
