0
아내트베닝은 이영화로 오스카받을 만한 연기를 펼친다  
영국 아카데미 여우주연상 후보에 오른 아네트 베닝의 명연기!  
글로리아 그램의 자전적 영화 꼭 봐야될 영화.  
제이미 벨!! 기대작!  
리빅맞리버풀우승하하  
리버풀? 리중딱 리중딱 신나는노래  
역대 리버풀역사를 영화 한 편에 만드시다니...상당히 기대됩니다 ㅎㅎ맨유는 빅클럽이 아니라 그런가요 이런 영화도 못보고 훗...  
"???: ""리버풀 빅클럽 아니야.""  "
리버풀은 빅클럽이 아닙니다.  
개봉전 평점: 7.00
전체 댓글수: 9
