0
여자들이 보면 딱 좋아할만한 내용이네요!! ㅎㅎ  
마놀로 블라닉!!! 대박~  
이런 영화 완전 좋아라하는데 ㅎ 꼭 봐야겠네요~  
노잼일 것 같은데....  
516161616155바보같은!  
개재미없을듯 아아으아아나  
개봉전 평점: 7.00
전체 댓글수: 6
