0
"그냥 눈에 익은 단어로 살인사건 쓰면 되지 왜, 고양이 살묘사건 이라고 제목 바꾸라고 시위라도 벌게???  "
보고싶당ㅋ 이런10자적나 적으라구??  
굉장히 신선한데요? 기대됩니다!!  
"딴지걸고 싶은건 아닌데, 영화 포스터에 버젓이 '살인'이라고 붙여놓은건 정말 이해가 안간다. 기본적으로 殺人이라는 의미도 모르는건가? 의도적이라도 별로 공감이 안가고, 모르고 쓴거라면 정말 노답이고... 영화는 안봤으니 평점은 중립.  "
개봉전 평점: 8.00
전체 댓글수: 4
