0
남배우 65년생(만52) 이라는데서 쇼크먹었다. 와 정말 아무리 적게봐도 60대 중반 이상인데  
Aidan Gillen 때문에 인내심을 갖고 끝까지 보긴 했으나 내용은 참 개떡 같음. 바람피우는 놈은 항상 피운다는 교훈을 알려줌. 이기적인 인간들 때문에 주변 사람들만 상처받고 힘들다.  
"사고치는거야 쉽지 다시 고치기가 얼마나 어려운데,,, 그래도 a24다운 영화  "
변화에 대한 용기와 실천  
외국 코미디영화 진짜오랜만에보는데 기대되네요^^  
개봉전 평점: 5.60
전체 댓글수: 5
