0
감독님 매년마다 꾸역꾸역 하나씩 만드시는 모습이 안타깝습니다. 돈OO의 끝장판 바로 이영화가 아닐까 싶내요  
전형적인 탈세용 돈벌이 영화.  
한채영도 이제 끝인가보네. 이런 감독의 이런 영화에 출연하고.. 삼류로 가는길..  
여명!!! 첨밀밀.. 너무도 그리운 영화  
중국에서 봤는데 영화 좋았는데.. 이거 중국영환데 한국영화처럼 둔갑시켰네...  
여명과 한채영!! 기대됩니다!!!!  
여명마시고 술먹고픈 영화  
이게 뭘까 싶네요.. 나에겐 어려운 영화  
개봉전 평점: 6.88
전체 댓글수: 8
