0
어제 부천 영화제에서 봤는데 정말 재밌었음!! 성인용 질퍽한 코미디. 수위 딱 좋음 ㅎㅎ  
짱짱  
이거 부천영화제에서 매진이여서 못봤는데 보고싶음..  
전부 독특한 캐릭터 20세 이상이라면 꼭 보세요  
공자관 감독님 영화는 뭔가 의미가 부여된거 같아서 좋아요^^  
40대아저씨들의 충분히공감할만한내용이 담긴수작입니다  꼭보세요 잼납니다  
과연 이런것도 영화의 소재가 될 수있을런지 ㅎㅎㅎ;;;)(꼴까닭)(  
♥♥♥  
유쾌!상쾌!통쾌! 침 꼴딱!!^^  
개봉전 평점: 8.89
전체 댓글수: 9
