0
티버 ~~~~ !!!!  
삶을 파괴하는 유방암에 맞서 불굴의 의지와 긍정으로 끝까지 맞서싸운 애니파커의 실화를 보자니 우리 삶이 얼마나 감사하고 소중한지 새삼스레 깨달았습니다!  
실화를 바탕으로 했다니 굵직한 배우들의 열연이 기대되는 작품입니다.  
마음이 따뜻해지는 영화일 것 같아 기대됨.  
덕을 위하여애니를 위하여  
개봉전 평점: 9.40
전체 댓글수: 5
