0
"*GV 스크린 문학전 이용하여 관람완료! 관람 후회하지 않으실거예요. 진지하지만 심각하지 않고, 심오하지만 유쾌한 다큐 영화! 시네마톡에서 김세윤 칼럼니스트가 인용한 문장으로 마무리 해봅니다.''디즈니가 만들지 않은 최고의 디즈니 영화''  "
디즈니 애니메이션을 좋아하는 자폐증 남자의 극복과 자립에 대한 이야기들.  
상영관 너무합니다... 개봉 당일날 만이라도 좀 풀어주지 보라는 건지 말라는 건지...  
정말 보고싶은데 왜 상영관은 하나뿐인지 ㅠㅠ  
"낯설게 느껴진 자폐증, 이해할 수 없을 거라고 생각했는데 관객도 함께 자라오면서 본 디즈니 애니메이션을 통해 이해할 수 있었어요! 좋았습니다..한국의 장애에 관한 논란이 커지는 현 시점에 보기 좋은 영화네요.  "
자폐증 진단을 받고 디지니 애니메이션을 보면서 극복하며 사는 모습에 감동을 받았습니다.재밌게 잘 봤습니다.~  
재미있는거 그리고 같아요  
인생은 애니메이션처럼 기대됩니다^^  
개봉전 평점: 9.12
전체 댓글수: 8
