0
이 감독 영화 두번 다시 안 볼래요 ㅠㅠ 돈아까워  
영화 맞아요? 에로 아님?  
프로필 사진이 이상하게 생긴게 어디서 봤나 했더니 평점 2점의 음란한가족 감독이었구만. 내가  한번 속고 두번 당할꺼 같냐!!  
노무노무 노기대된단이기야  
개봉전 평점: 1.00
전체 댓글수: 4
