0
흑흙 무협빠로서 이제라도 개봉하는게 넘나 기쁨  
2015년 작품이던데 괜찮은 것 같아요.  
사정봉의 새로운 무협! 기대됩니당  
비공개 경로으로 이미 한글자막이 유출되고 있는데.. 안타깝습니다..  
중국무협은 언제나 즐겁다는! 특히 사정봉!  
이게 언제적껀데...;;  뭐죠?;;  
개봉전 평점: 8.83
전체 댓글수: 6
