0
따뜻하고 재미있다는 소문 들었어요!! 완전 기대됩니다!!!  
별로일것 같음  
연기파 배우들 총출동이군요. 왠지 상큼할 것 같은 분위기의 영화네요. 기대됩니다.  
ㅎㅎㅎㅎㅎ뭔가 재미있을꼬 같아욤!!ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ개봉하면 보러가야징~  
잔잔하고 괜찮아요 개봉하면 아빠손잡고 영화관 데이트해야겠어요  
프란체스카의 이두일이라면 1974년의 남파간첩이 딱이다. 웃고 싶다~  
빨리 보고싶어여^^  
제목부터 재밌네... 대박나세요~  
기대됩니다^^  빨리개봉해주세요  
개봉전 평점: 8.89
전체 댓글수: 9
