0
샌즈 드립좀 작작처라 벌써 5년 전꺼다  
5월 30일 맞춰서 개봉하는거죠?  
오늘 주인공은 나야 나~~  
이걸 안볼수가 있다구???  
와 샌즈 파피루스 겁.나.어.렵.습.니.다  
개봉전 평점: 5.40
전체 댓글수: 5
