0
평점4점에 내가 바꾸고간다  
"한 사람의 영광의 순간과 최악의 순간의 모습을 통해 홀로코스트에 대해 다시 한번 생각해볼 수 있는 기회가 될 듯, 물론 복싱 씬들도 기대됨!! 세계 챔피언의 클라쓰  "
복싱영화는 언제나 옳다 미국영화에 한에서  
개봉전 평점: 8.00
전체 댓글수: 3
