0
와 대단하다 투자는 어떻게 받은거지?..  
응징자 2래 ㅋㅋㅋ 아 진짜 대단하다 증  
대결보면 감독 찐따임...  
킁가킁가킁가 망작냄새  
개봉전 평점: 1.25
전체 댓글수: 4
