0
1점대로 영화의 한획을 그어보자!!  
3.1절을 향하여 가자  
이게 무슨 칭기즈칸이냐  러시아로 간 그 후예들 얘긴데...;; 제목 바꿔라~!!  
별0개없나?징키스칸이라는 분은 이러지않으신데....  
기대된다 ㅎㅎ 과연 어떨까  
0점 못주냐?? 이게 좀비영화냐 성인영화냐;; 좀비랑 하도못해 섹스까지하냐?  
이건 왜 개봉도 하지않았는데 이렇게 평가가 안좋은거야????  
개봉전 평점: 2.86
전체 댓글수: 7
