0
괴물보다 얘네얼굴이 더무서운데;;  
앗..토마스를 극장에서~ 대박  
토마스가 돌아왔다~ 길을비켜라ㅋㅋㅋ  
어릴때 보던 토마스!!~넘 반갑네요~!기대기대 >_<  
정말 오랜만에 만나는 토마스.. 기대가 큽니다!!!  
아주 재미있을 것 같습니다.  
기대됩니다 빨리 만나고 싶네요 3살 인생 우리 아들의 첫 영화관람기가 되겠네요. ^^  
토마스와 친구들이라닠ㅋㅋㅋㅋ 앜ㅋㅋㅋㅋ  
어릴적 토마스기차가 생각나네요~ 추억의 토마스기차 극장에서 보고싶어요~  
큰스크린으로 만날수있다니ㅎ 기대기대  
토마스는 항상 진리죠!!!  
이거 옛날에 티비에서 해주던거 생각난다  
기대하고있습니다 크크크  
개봉전 평점: 9.31
전체 댓글수: 13
