0
연출이 개망 ... 발로 만드셨나보네요. 이돌감독 은퇴하셔야할듯  
성인영화에저능아같은비주얼넘쳐나고30대후반아줌마들누나역할로출연했다가돈벌이되니까장모역할로출연하는일다반사고  
자연산이 보고 싶다...  
정희가 나오는구나ㅋ 기대 만빵  
형님아내1.2.3 다봣는데 3탄이 워낙 안좋아서 4탄기대중인데!! 남자배우는 신경써서 캐스팅한거 같은데 여자배우는....40대아줌마에...서원...여자보다 남자가 이쁨.  
서비스씬이 많아서 좋았습니다 5편 기대할게요  ^^7  
개봉전 평점: 5.00
전체 댓글수: 6
