0
다른건 모르겠는데.... 감독님 혹시 스트리트파이터 켄 아니신가요?  스트리트 파이터~~~ 가두쟁패전~~ 꿈의 도시 찾아간다~  
예고편 나오면 관람을 생각해보겠습니다. 지금도 솔직히 좀 땡기긴 하지만...  
제목으로봐선 판타지인데 청소년 관람불가라니.... 의외로군  
...  이런건 의리지 ..  
차이나 타운 후속작...?..  
헐? 원진이 나오는것도 신기한데 조연이야원진나오니까 본다  
감독님이 스트리트파이터 캔 !  
으아... 하룻 그레고리안  
액션이 레이드 정도는 나와줄라나? 그럼 극장가서 보고 싶은데...  
개봉전 평점: 8.00
전체 댓글수: 9
