0
몇번을 보았지만 볼 때마다 새로운 느낌을 받을 수 있는 영화였습니다. 하하하  
기대가 되는 감독이네요.  
학생영화의 클리셰를 담아  
재밌어요 30분 어떻게 가는지 모르고 봄  
제 친구 영화라 주관적으로 10점 박고 갑니다.  
꺼져 10자 10자 10자  
개봉전 평점: 7.67
전체 댓글수: 6
