0
로멘틱 코미디는 역시  미국이 갑이지ㅋㅋㅋ  
"사라 볼거, 앞으로가 더 기대되는 배우!  "
"이게 무슨 코미디람. 어른같은 Lucy 의 성장드라마, 찡하다.  "
헐  이영화코미디엿어ㅋ?ㅋㅋㅋㅋㅋ  
전설의시작이지  
개봉전 평점: 5.80
전체 댓글수: 5
