0
노래가 너무 감동적이고 슬퍼요 한번쯤볼만합니다.  
"액션, 범죄, 판타지, 사랑, 슬픔.... 게다가 반전까지!!정말 도대체 어떤 영화인지.... 2014년에 나온 영화라고 믿어지지 않을 만큼의 옛날 무술영화의 느낌이라고나 할까... 끝까지 영화를 다 본 나에게 박수를!  "
이걸 재미엄따고 욕하는사람은 끝까지 안본사람이다 마지막에 반전 또반전 또반전이일어난다 처음은 중국 삼류영화로시작해서 실망하지만 끝은 엄청난 충격과 환희로 끝나는 할리우드영화다내가본 영화중 역대급반전이다  
개그지같은보면 진심후회  
진심 이병헌 인줄 ㅋㅋㅋ  
이병현인줄알고 들어온 사람 공감 ㄱㄱ~  
0점 없나? (글자수)  
너무기대되는거아니냥;~~~~  
네다음알바 (네이버 댓글쓰는것도 종나 깐깐하게 구네)  
개봉전 평점: 5.78
전체 댓글수: 9
