0
베리굿 아주재미있게 잘봤어요~~  
이거 꽤 재밌음 ㅎㅎ 갠적으로 만족끄  
좋은액ㄱ션! 화려한볼거리  
3d영화 멋져요!!! 정말 액션이 멋집니다!!  
개봉전 평점: 9.75
전체 댓글수: 4
