0
기대 된다... 마지막 편!! 이미 책으로는 봤지만 결론은 시노부는 사랑입니다!!  
도대체 언제개봉하는데  
"삿포로 가서 보고 왔지만, ㅋㅋㅋㅋ 빨리 국내 상영 ㄱ 합시다. 키스숏 너무 귀여움  "
가타리시리즈가 가면갈수록 힘이빠지는거같아서.. 좀.. 아니 많이불안하다.  
전국개봉 4월에 한다며요...ㅠㅜ  
작화 엄청나던데ㅋㅋ빨리 국내개봉풀렷으면  
일본가서 3번보고옴.. 이건 작화도 성우연기력도 철혈 열혈이랑 비교할게안될정도로 꿀잼.. 근데 냉혈편 특상회 언제하려나...  
국내 개봉은 언제...  
일본에서 보고옴 역대급 명작 마지막에 눈물폭풍 자부합니다 ㅠ  
ㄴㄷㅆ~ㄴㄷㅆ~ㄴㄷㅆ~  
woaldlTrp wkf qhKTtmqslek.  
어제 메박에서 보고왔어요~! 솔직히 열혈 철혈은 극장에서 보기엔 좀 노잼....쳐지는 느낌... 많이 들었는데 냉혈편에서 확실하게 3인분 다 해준 느낌이었습니다... 전 2편은 매주까지는 안봤는데 냉혈편은 매주 출석 찍어야할듯ㅎ  
중2병 소름 끼치드만 이게 뭔재미;;  
쓰레기 외엔 다른말이 필요없을것 같네요. 삼류찌끄레기를 싸질러도 이것보단 나을것 같은  
개봉전 평점: 6.93
전체 댓글수: 14
