0
음악이 너무 괜찮은 영화 더라구요~~ 원스 만큼 괜찮은 느낌^^  
이번 상상마당음악영화제 때 보고 생각보다 괜찮았습니다. 특히 영화속에서 음악이 괜찮네요  
저도 제천에서 본 영화... 음악도 좋고 재미도 있고 참 만족스러운 영화였어요  
개인적으로 올해 2012 제천국제음악영화제에서 본 최고의 영화!!! 완전 사랑스러운 주인공들과 아기자기한 음악이 97분내내 웃고 울게 해줬음. ㅠㅠ 라이언오넌은 천재인 듯!!  
제천 청풍호반에서 넘 즐겁게 봤던 영화. 음악도 기가막힘~^^  
올해의 영화 진짜 수작이다  
이런 삼류영화주제~참 한심하다.  
음악도 좋고 영화도 유쾌하고.. 간만에 보는 웰메이드 수작  
개봉전 평점: 8.75
전체 댓글수: 8
