0
역시 1편을 넘는 후속은 없다.. 이바닥 배우가 너무없는게 느껴진다. 지연 싫어하는건 아니지만 이제 질린다  
4까지는 좀 심했다.... 배우들도 죄다 뻥뻥뚫린 사골이고 새롭지도 않고 노잼. 남자 배우 시우인지 뭔지 안경 쓴 애랑 이 시리즈 좀 그만 나왔으면  
이런배우밖에없나요싫증나네요  
예고편는 디테일게 편집잘한네 젊은배우만 나온는줄 알겠네 아줌마들 너무 많이출연하네  출연시킬사람 그렇게도 없나  투자자들 배우얼굴보고 투자좀해라  투자자들 영감탱뿐인거냐  
음악을 잘 못 쓴 영화인 듯 함.  
빠른 개봉 부탁드립니다~  
엄마친구는 믿고 본다!!! !  
개봉전 평점: 4.00
전체 댓글수: 7
