0
故 차명욱 배우님 삼가 고인의 명복을 빕니다.  
15년전 연극그로 본 기억이 나는데 영화로 나오나요?  
국어교과서에 나오는 희곡인데 꼭 보고싶네요 기대됩니다!  
중학생때 교과서에서 본 기억이 나네요...  
이날 전역입니다 고로 평점10점  
"70년대 우리의 현실을 보는것같으네요 ""꼭""보고싶어요  "
교과서 보고 온 급식입니당...  
연극이 영화로 만들어지면 어떨까...  
개봉전 평점: 9.62
전체 댓글수: 8
