0
진심 재미없다..시간아까워  
단조로운 전개에 긴장감은 생략  
전혀 공감이 가지 않는 결말. 감독은 여자의 부정적인 면을 부각시키려는 의도가 있었을까? 자기가 사랑하던 남자의 괴로움은 철저하게 외면하고 오로지 자기의 모성애만을 만족시키려고 했던 여자의 이기적인 모습에 기분 나뻤던 영화.  
진짜 데자뷰인줄 알았네  
"어딘선가 본 듯한 흔한 소재,하지만 그녀는 정녕 클라라인가 훌리아인가...  "
요새 주목되어지는 유럽 스릴러.. 자칫 지루할수도..  
개봉전 평점: 3.83
전체 댓글수: 6
