0
"부천국제애니메이션페스티벌에서 보고 왔는데요, 개막작으로 뽑을 만하더군요. 기승전결이 뚜렷하고 액션도 있는데다가 무엇보다도 연령대 상관없이 모든 연령층의 사람들이 볼 수 있어서 정말 좋았습니다. 그런 점에서 10점을 드리고 싶네요.  "
올해의 애니메이션! 정말 재밌게 잘 봤다.  
CGV 프렌치 시네마 투어로 봤습니다. 증기시대의 멋진 상상력! 센과 치히로의 행방불명을 좋아한 사람이라면 틀림없이 이 영화도 좋아할 것 같습니다.  
타르디+틴틴+스팀×코티아르=지적인 애니메이션  
오늘 시사회로 봤어요 아이가보기엔 어려울수도? 재밋게 잘봤습니당 시즌2기대  
역사와과학 어드벤쳐등 캐릭터보는재미와그리고 음모관한 것을 파헤치는 섬세함아브릴과 다윈의 케미가 영화볼 때에 빠질수없는부분 중 하나^^!! 그리고 남주하고도 티격태격  
"사랑스럽진 않아도, 몇몇 오마주를 떠올리게 하는 센스와 재기.  "
재미있어요  ^^  다윈만세 ~~~~♡  
프랑스 애니매션이라 급관심  
페르세폴리스 좋아해서 추천  
101010101223123  
개봉전 평점: 8.00
전체 댓글수: 11
