0
무서울것  같은데...  
나오면 보겠습니다. 재밌을 것같아요.  
예고편 보니까 소재가 흥미있네요... 나름 기대가 되네요 꼭 보겠습니다  
알바의 십점을 되돌리기위해  
겁나 재밋을거같음 빨리 보고싶다..  
믿고 보는 파라노말 난 정말 재밌었음 .. 빨리 보고싶다 ㅎ  
뭔가 있어 보이네요. 있어 보이는 거는 항상 재밌더라니까...  
개봉전 평점: 8.57
전체 댓글수: 7
