0
지금 전주영화제 객사 메가박스 6관에서 실시간 감상중… 평점 등록 합니다.  
일기는 다른 사람에게 보여주면 안된다고 깨닫게해준 영화.중간에 나가고 싶었지만 옆사람들 깨울까봐 못나감.  
저도 전주에서 실시간 평점 등록합니다. 액자 속에 액자 속에 액자. 공허합니다. 영화 보다 일부러 잠 청한 건 처음이에요  
요즘엔 우리나라 영화도 볼만한 ' 것같은 '... 폭력 음란 코미디 物만빼고...  
"독특한 영화.감독님의 필모답게? 프랑스 영화 냄새, 적당한 '거리두기' 가 Interesting 하다.저예산영화? 스러운? 거친 맛도 없진 않다.하지만 한 번 보았는데... 한 번 더 보고싶다.그리고 자꾸 영화 생각이 난다.  "
일단 기대해보자 화이팅!!  
감독님 !   굿~~~~ 입니다.  
뚝심으로 밀고 가는 연출력!!!  
성지혜 감독님 존경합니다 영화너무 멋져요  
개봉전 평점: 6.44
전체 댓글수: 9
