0
전쟁의 화려함이 아니라 그 안에 살아가야만 하는 사람들의 참상을 잘 보여준 영화 같다  
오~ 포스터 멋지다~!  
무슨 내용일지 궁금하네요~  
영상 수준은 딱 한국의 90년대 초중반. 스토리는 터키식 영화 느낌 이해못하는 사람에게는 조금 덜 떨어지는 느낌. 차라리 헐리우드에서 이 소재를 가지고 영화를 만들었으면...하는 크나큰 아쉬움. 그  이상 그 이하도 아닌 수준의 영화. 진짜 개봉함?헐  
개봉전 평점: 8.00
전체 댓글수: 4
