0
부자의 코믹 액션! 완전 웃겨.... 이거 강추 ㅋㅋㅋㅋ  
포스터만 봐도 기대반빵!  
예고보니 잼있으꺼 같네요 기대됨ㅎㅎㅎ  
생각지도 않았는데 핵잼 뭐야 ㅋㅋㅋ핵웃김  
영화 재밌을 것 같아요...ㅋㅋ 007 시리즈가 연상되네요..ㅋㅋ  
개봉전 평점: 9.40
전체 댓글수: 5
