0
개봉언제하냐 진짜 보고싶은데  
시작하자마자 로튼 100% 달리는 중... 역시 DC는 실사가 아니라 애니로 나가야 하나봐요.  
ㅡㅡㅡㅡ완전쩐다ㄴㄴㄴㅂ완전완전  
"처음에는 망할줄 알았는데, 처음부터 마지막까지 감탄함.특히 노래들잌ㅋㅋ  "
아동용보단 유아용에 가깝다  
개봉전 평점: 8.20
전체 댓글수: 5
