0
핸콕!@#$%^&*()  
전쟁영화광으로써.. 땡기긴 하는데.. 미국이나  영국 독일 영화가 아니라.. 소련영화....음... 갈등스럽다....  
포스터 정말 기대가안된다....  
개봉전 평점: 8.67
전체 댓글수: 3
