0
도대체 언제 어디서 개봉하는걸까... 아무리 찾아도 찾을 수 없어... 넘나 보고싶은것...  
줄거리가 흥미 진진하다~ 기대된다  
로베르토의 특별한 일주일을 한 번 따라가보고 싶네요.  
리카도 다린 이전 작부터 관심있던 배우였는데 개봉이라니~ 기대되네요  
제목을 따로 만들어내서  
개봉전 평점: 9.40
전체 댓글수: 5
