0
보성성님주연이신가요?으리!!  
보성성님이 주연인가요? 의리!  
하하하....엊그제 올레티비 프라임팩으로 보고 어이가 없어서...  
구우우우뜨! 많은 중국 무협영화가 나오길  
자다가 보성성님의 대도무문이 들려서 평점남깁니다.  
개봉전 평점: 6.00
전체 댓글수: 5
