0
스톡홀롬 신드롬에 대한 이야기가 나오는데결말이 충격적이었고 최근 본 영화들 중 젤 인상깊고 재밌었다왜 검색해보면 아무런 리뷰도 없고 유명하지 않은걸까 재밌어요  
몰입감 넘치는 영화... B급 영화 감성의 그런 영화?  
재미없어요 비추천...  
개봉전 평점: 6.67
전체 댓글수: 3
