0
제발 이딴 쓰레기좀 그만만들었으면 좋겠다...분명히 허접한90~70년대 cg일게 뻔한데....  
존슨새꺄 이 영화 망한다에 내 존슨을 건다  
둠칫둠칫 포스터부터 망할삘이네  
어떤 영화일지 궁금! 포스터가 신기해보임 ㅎㅎ건물이 로보트가 되는건가  
뭐지..이 식상한 포스터능...  
디워나 용가리가 더재밌다  
원래 영화란 보고나서 평가을 해야 맞다만 왠지 디워 꼴날거 같네 그래도 괜찮은 B급 영화가 나올지도 ...  
영상은 있는데  자막이 없어서 무작정 기다리는 중ㅠ 잼날거 같은디~ㅠㅜ  
개봉전 평점: 3.75
전체 댓글수: 8
