0
포스터 비쥬얼이 완전 대박~! 궁금증을 유발하네요!!ㅎㅎ  
"이런 삼류 허접이 있나, 스토리는 커녕 배우 연기력이 포르노보다 못해서 5분 보다 구역질 나서 끔  "
배우의 연기가 일품 스토리도 탄탄 이런 영화 오랜만에 보내요 강추  
대단하네요..대단히 하네요  
개봉전 평점: 7.50
전체 댓글수: 4
