0
우와!! 완전 재미없겠다  
젠장 1빠를 놓쳣다 이런  
무척 기대되는 SF멜로 영화입니다.  나중에 한번 봐야겠어여  
여러분들 네이버에 <티비땁> 검색하시면 피오렌티나 나폴리 경기중계 감상가능하십니다! 스마트폰 환영입니다!  
괜찮을 영회일듯하네ㅋㅋ  
오~ 보고싶음!!! 흥미로울듯ㅋㅋ  
개봉전 평점: 6.83
전체 댓글수: 6
