0
어우야~뭐야...무서워...에휴  
안봐도 비디오다...ㅋㅋㅋ  
무관심이 더무서다 ㅋㅋㅋ  
배급사새퀴들.. 영화제목 작명수준 진짜 최악이다... 터미네이터와 관련성 1도 없는 영화제목을 저따구로 짓냐  
아직 안봐서 잘 모르겠는데 터미네이터하고는 아무 상관없죠?  
포스터 엄청 쎄보여...ㅋㅋㅋ  
개봉전 평점: 3.83
전체 댓글수: 6
