0
국내개봉 언제해요?보고싶닷  
아무리 시간이 흘러도 변함없는 탄생과 죽음사이의 끝없는 Eternity.  
"프랑스 대표 여배우 오드리 토투, 멜라니 로랑, 베레니스베조의 조합만으로도 환상!  "
"그저 아름답다... 일어난 일을 시간 순으로 나열하는 것만으로도, 삶의 흐름은 사무치는 것, 아름다운 것...  "
우.아.하.고.아.름.답.다.  
영상미 개쩔탱 미쳐따미쳐따  
와.... 이미지 대박.. 너무 예쁘다.  
"음악, 색감, 소재 너무 좋다  "
개봉전 평점: 9.88
전체 댓글수: 8
