0
가끔식 B급영화 중에 재미있는게 있어 기대 했지만 이런 영화 때문에 B급영화를 외면하게 된다.시나리오는 7080시대 배우는 발연기 연출은 초딩수준 정말 심각하다.  
저예산이라 연출 등이 구리긴하지만 내용은 볼만함. 여자가 완전 요물임...여주 쌍커풀 없는 눈 보면 볼수록 매력이네 ㅋㅋ  
저예산 영화 감안하면 배우들 연기도 괜찮았고 스토리도 흥미로움  
게임의 여왕 탄생!치밀한 계략에 망가지는 남자들...  
대박너무너무잼잼훌륭하시네요  
권만회 감독님 화이팅!!!!  
개봉전 평점: 8.00
전체 댓글수: 6
