0
시대를 거스르는 CG에 감탄했습니다! 개꼴잼  
어리버리한 아저씨의 전화기 액션 압권인 듯 ㅋㅋㅋ  
스릴넘치는 최고의액션영화..기대안하고 봤는데 정말잼써요  
이것도 영화라고 돈을 받나????  
개봉전 평점: 7.25
전체 댓글수: 4
