0
..와우 ~~항상 영화를 보면 대충대충 건성건성 영화  
우리 사회에 삶과  필요한 이야기 였으면 하네요기대할께여~~  
기대되는영화네요! 꼭볼게요  
이거 왜 청불인가요???  
대체 이건 뭐지 .. 전혀 몰겟다..  
계약직얘기 이시대에 꼭필요한영화입니다  
기대합니다기대해요진짜로  
기대되요~~!! 개봉하면 무조건!  
영화 개봉하면 달려가서 바로 볼랍니다!!완전 기대만발!!  
기대됩니다!! 개봉할때 꼭보러갈께요  
기대됩니다!! 개봉할때 지인분들 다같이 보러가겠습니다!  
...꼭봅니당 기대작이에요  
정말기대됩나다~~!!!  
이거 대박예감입니다 화이팅!!!  
개봉전 평점: 8.71
전체 댓글수: 14
