0
"첨엔 무슨 영환가 했더니, 완전 재밌어요!! 강추!  "
"아주 유치하고 약간은 지루한, 아주 기발하면서 약간은 재미있는, 이스라엘산 코믹 B급 무비!  "
컨셉 신선하네요! 기대됩니다.  
남자애가 너무 귀여움ㅋㅋ근데 알고보니 로봇? 띄용 ㅋㅋ  
개봉전 평점: 9.75
전체 댓글수: 4
