0
재밌습니다 보면서 힐링이되는영화였습니다.  
원제가 에이미인데 국내 제목은 이블 아이덴티티라니. 국내에서 인기 있었던 이블데드와 아이덴티티에서 따왔나 보네ㅋ  
왜 여배우가 저런 눈빛을 보내는지 보시면 압니다  
방송인 에이미의 일생을 다룬영화는 개뿔 존나 무서운 삼류아좌작영화 진지 빨고 90분 동안 봤다. 코스프레 티 다나고 노잼  
개봉전 평점: 6.50
전체 댓글수: 4
