0
좋은 아이디어 같다.  우리나라도 건물벽에 사진 붙이면 멋질거 같네  
내공이 짧아 제대로 이해는 못하겠지만 암튼 좋았다. 둘의 작업자체도 그리고 같은 곳을 바라보고 있는 둘만의 구도도..  
"저들 예술에 깊은 이해는 힘들지만, 평범한 사람들 속으로 파고 들어가 그들을 행복하게 하는 것, 뭐 그것이 예술이겠지..  "
"소시민의 역사, 일상을 예술화하다.  "
"사람들의 일상에 새로운 기운을 불어넣고, 새로운 시각을 열어주는 것, 그로 인해 사람들이 행복감을 얻는다면 그것이 진정한 예술이 아닐지.  "
시대를 대표하는 여성감독의 예리한 시각  
토론토영화제 다큐관객상이면 말 다했지 ㅋㅋㅋ 빨리 개봉해요 여성영화제 티켓 놓쳤다구요  
"여성영화제 트레일러만으로도 감동, 이게 예술이지.  "
너무 보고 싶다 너무 보고 싶다 너무 보고 싶다 너무 보고 싶다 너무 보고 싶다 너무 보고 싶다 너무 보고 싶다 너무 보고 싶다 너무 보고 싶다 너무 보고 싶다 너무 보고 싶다 너무 보고 싶다 너무 보고 싶다 너무 보고 싶다 너무 보고 싶다!  
나에게도 아름다웠던 광경과 모습들을 사진으로 찍어 간직하고 있다. 자신의 사진을 보여줌 으로써  행복하게 하는것이 아닌 사람들과 같이 사진을 찍음으로써 행복을 느끼고 아름다운 광경과 모습들을 알게 되는거 같다.  
"Visages, Villages  "
나이차에도 불구하고 아름다운 예술 동지로 프랑스 곳곳을 예술 갤러리로  만드는 모습이 아름답다.  
정말 재미있게 본 영화이다. 프랑스의 시골 . 그리고  그곳들의 의미가 충분하다. 인간이 만드는 날것의 예술을 담은영화같았다.  
오래도록 건강해 주세요.  
개봉전 평점: 8.71
전체 댓글수: 14
