0
제목으로는 봐서는 스캔들을 하기는 하는데 거의 스토리 성이 많이 떨어진다는 생각이듭니다. 여러가지로 주고자 하는 메시지는 전달은 되기는 하는데 성적으로 표현으로 강도가 높아 좀 아쉬운점이 있네요...  
이런게 스캔들이죠..  
개봉전 평점: None
전체 댓글수: 2
