0
기대 중입니다~~!! 보고 싶어요  
아 이런 영화 너무 좋아요. 오랫만에 제대로 된 공포영화 볼 듯!  
약간 13일의 금요일 같은 느낌...텍사스 전기톱 살인사건 같은..ㅎ  
지루하기 힘든 장르인 공포영화도  지루할 수 있다는 걸 보여준 영화  
확마진짜 진짜쌔리뿌까 확마 이리맨들기도힘들다확마  
킬링타임으로볼만해요 심장이쫄깃쫄깃 배우들도연기를잘하네요  
예고편 보니 기대됌!!!!  
"정통 슬래셔 무비, 근데 약간 데스티네이션 느낌남  "
개봉전 평점: 6.75
전체 댓글수: 8
