0
볼만한영화입니다재밌게 보세요.  
음..내생각엔 흔한B급영화라고생각하는데 평점올리는사람들다 돈받고올리는건가  
좀비?? 좋아하는데~ 게다가 액션까지~ 꼭 봐야겠어요^^  
끊임없는 난사액션 !  통쾌합니다 !  
좀비영화완전좋아한다 ㅋㄴㅋ 얼른보고픔  
개봉전 평점: 9.60
전체 댓글수: 5
