0
타카스기마리가 한국에도 작품을 내다니..내 평생 최애 배우...  
일단 배우는 대박. 후반부에 또 있음 ㄷㄷ  
여배우가 엄청 귀엽다!!  
평범해 보였는데 벗은거 보니 정말 장난없네 소장하고싶어지는 영화 강추!  
여배우 졸귀 급할때  좋을듯  
아 여배우는 정말 좋은데 왜 베드신 길이가 엄청 짧냐 길으면 대박인데  
개봉전 평점: 8.67
전체 댓글수: 6
