0
겨울왕국을 넘어선 영화라고 하던데 기대됩니다.개봉 빨리해주세요 시사도 기대중입니다  
눈싸움을 소재로 했다니 넘나 귀욥ㅋㅋㅋ  
애니메이션 시사회에서 예고편 본거같은데 12월이었나 어쨌든 겨울에 개봉한데요! 아이들이 재밌어할만한 애니메이션같습니다.  
완전 깔깔대며 아이들과 빠져봤네요마지막 감동까지..아직도 울꼬미는 강아지 이야기를 해요..  
"시사회 다녀왔어요. 아이들이 소소하게 계속 웃어서 생각했던 것보다 재미있게 봤어요~ 유명캐릭터도 없고, 비주얼이 톡톡 튀지도 않지만, 착한 이야기로 충분히 아이들이 잘 볼 수 있었던 것 같아요.  "
왜 별점이 10점이지 ㅋㅋㅋ 이어갑니다!  
눈싸움 완전 신나보인다!  
음 눈싸움이라 무언가 기대 된다 ㅋㅋ  
겨울에는 역시 눈싸움이지~  
12월에 볼만한 애니 하나 개봉하네! 기대된다ㅎㅎㅎ  
극장에서 포스터 세워진거 봤네요 다음영화는 이걸로^^  
↑［클］↑［릭］↑ 좋은 정보 알려드리겠습니다. 온라인 정보입니다.  
개봉전 평점: 10.0
전체 댓글수: 12
