0
이감독 도데체 머하는새 키냐  
요즘 왜이리 미국에서 B급영화들이 마구마구 물건너오는거냐  
와이파이 있는데서만 총쏠수있나?ㅋㅋ  
마이클제이화트이니까;;좋은 작품에서 자주만나길 바래요  
자 이제 아이폰 캅 만들어줘 난앱등이니까  
개봉전 평점: 2.80
전체 댓글수: 5
