0
친근감을 띄운채 감동을 곁들인 재미를 선사하는 영화  
굳이 장애인의  성을 떠나서라도 생각할게 많은 유머러스하고 따뜻한 영화..연기와 연출이 아주 굿!!!  
힐링을 원하는 지금의 사람들이 봤으면 하는 영화입니다. 유쾌함과 감동은 물론 느껴보았지만 좀더 특별하게 다가오는 감정이 담겨있어요.  
소재의 독특함과 자칫 음지의 영역이라고 생각했던 주제를 담백하면서도 담담하게 풀어갔다. 거부감이나 일반 로맨틱/로맨스 영화처럼 달콤하거나 끈적이진 않지만 자연스럽게 장애인에 대한 편견이 녹는것같다. 중간중간 깨알같은 소소한 재미가 있다  
장애인의 성에 관해서 다른 시각으로 볼 수 있었던 영화였어요장애인의 성에 대해서 최대한 객관적으로 볼수 있게끔 노력했던 작품이었고사회복지 자료로서도 괜찮을것같네요&^^  
유쾌하고 따뜻한 감동이 있는 작품! 부산 영화제에서 봤던 영화 중 가장 재밌었던 영화! 정식 개봉한다니 방갑네요!  
너무좋아용 ㅎㅎ  
영화제에서 관람했습니다 느므저았슴니다ㅜㅜ  
개봉전 평점: 9.25
전체 댓글수: 8
