0
결투 씬이 압권인 영화~~  
오 웬지 기대되는 영화다  
무슨 제목이 개떡같어..  
포스터부터 진짜 재미없게 생겼다...  
과장없는 액션 기대되네요  
과장이 없는 정통 무협 액션입니다. 금마장 영화제 최우수 액션상을 수상했고 간만에 스토리 좋은 무협영화입니다  
레이드 정도의 액션 나오는건가.. ㅋ  
골목 결투씬이 하이라이트...한 10번 봤음  
개봉전 평점: 7.25
전체 댓글수: 8
